X, Y
2.2,0.753329898
4.4,2.831191777
6.6,5.408989975
8.8,8.311447515
11,11.45531954
13.2,14.79157589
15.4,18.2878191
17.6,21.92102295
19.8,25.67397077
22,29.53329898
24.2,33.48833186
26.4,37.53034367
28.6,41.65206855
30.8,45.84736207
33,50.11096002
35.2,54.43830175
37.4,58.82539792
39.6,63.26872936
41.8,67.76516858
44,72.31191777
46.2,76.90645927
48.4,81.5465155
50.6,86.23001615
52.8,90.95507111
55,95.71994792
57.2,100.5230528
59.4,105.3629148
61.6,110.2381719
63.8,115.1475593
66,120.0898997
68.2,125.0640944
70.4,130.0691152
72.6,135.1039987
74.8,140.1678395
77,145.2597858
79.2,150.3790344
81.4,155.5248266
83.6,160.6964448
85.8,165.8932093
88,171.1144751
90.2,176.3596297
92.4,181.6280901
94.6,186.9193015
96.8,192.2327346
99,197.5678843
101.2,202.9242679
103.4,208.3014237
105.6,213.6989098
107.8,219.1163024
110,224.5531954
112.2,230.0091985
114.4,235.4839372
116.6,240.977051
118.8,246.4881931
121,252.0170298
123.2,257.5632392
125.4,263.1265111
127.6,268.7065461
129.8,274.3030551
132,279.9157589
134.2,285.5443876
136.4,291.1886801
138.6,296.8483837
140.8,302.5232538
143,308.2130534
145.2,313.9175527
147.4,319.6365291
149.6,325.3697664
151.8,331.1170549
154,336.878191
156.2,342.6529768
158.4,348.4412201
160.6,354.2427339
162.8,360.0573364
165,365.8848508
167.2,371.7251049
169.4,377.577931
171.6,383.4431659
173.8,389.3206504
176,395.2102295
178.2,401.1117521
180.4,407.0250706
182.6,412.9500412
184.8,418.8865235
187,424.8343804
189.2,430.7934782
191.4,436.7636861
193.6,442.7448763
195.8,448.7369242
198,454.7397077
200.2,460.7531074
202.4,466.7770069
204.6,472.8112918
206.8,478.8558505
209,484.9105738
211.2,490.9753546
213.4,497.0500882
215.6,503.1346719
217.8,509.2290053
220,515.3329898
222.2,521.4465289
